frequency;H1-1R Barnes
100;-8.48E+00
101;-7.02E+00
102;-5.49E+00
103;-4.31E+00
104;-4.46E+00
105;-5.79E+00
106;-7.87E+00
107;-9.98E+00
108;-1.20E+01
109;-1.31E+01
110;-1.25E+01
111;-1.02E+01
112;-7.96E+00
113;-6.78E+00
114;-6.69E+00
115;-7.14E+00
116;-8.33E+00
117;-9.51E+00
118;-1.15E+01
119;-1.36E+01
120;-1.35E+01
121;-1.42E+01
122;-1.54E+01
123;-1.56E+01
124;-1.43E+01
125;-1.33E+01
126;-1.33E+01
127;-1.40E+01
128;-1.54E+01
129;-1.83E+01
130;-2.08E+01
131;-1.90E+01
132;-1.64E+01
133;-1.55E+01
134;-1.44E+01
135;-1.15E+01
136;-8.27E+00
137;-6.28E+00
138;-5.62E+00
139;-6.15E+00
140;-7.80E+00
141;-1.05E+01
142;-1.34E+01
143;-1.51E+01
144;-1.58E+01
145;-1.63E+01
146;-1.61E+01
147;-1.59E+01
148;-1.62E+01
149;-1.63E+01
150;-1.58E+01
151;-1.53E+01
152;-1.50E+01
153;-1.56E+01
154;-1.68E+01
155;-1.78E+01
156;-1.71E+01
157;-1.58E+01
158;-1.52E+01
159;-1.53E+01
160;-1.67E+01
161;-1.91E+01
162;-2.15E+01
163;-2.22E+01
164;-2.11E+01
165;-2.12E+01
166;-2.16E+01
167;-2.16E+01
168;-2.09E+01
169;-2.09E+01
170;-2.14E+01
171;-2.23E+01
172;-2.27E+01
173;-2.29E+01
174;-2.31E+01
175;-2.28E+01
176;-2.25E+01
177;-2.27E+01
178;-2.33E+01
179;-2.40E+01
180;-2.38E+01
181;-2.33E+01
182;-2.29E+01
183;-2.28E+01
184;-2.22E+01
185;-2.17E+01
186;-2.17E+01
187;-2.19E+01
188;-2.19E+01
189;-2.22E+01
190;-2.26E+01
191;-2.29E+01
192;-2.28E+01
193;-2.27E+01
194;-2.31E+01
195;-2.34E+01
196;-2.28E+01
197;-2.20E+01
198;-2.23E+01
199;-2.31E+01
200;-2.34E+01
201;-2.32E+01
202;-2.29E+01
203;-2.26E+01
204;-2.20E+01
205;-2.12E+01
206;-2.10E+01
207;-2.12E+01
208;-2.18E+01
209;-2.22E+01
210;-2.27E+01
211;-2.31E+01
212;-2.30E+01
213;-2.30E+01
214;-2.32E+01
215;-2.33E+01
216;-2.32E+01
217;-2.33E+01
218;-2.35E+01
219;-2.30E+01
220;-2.29E+01
221;-2.48E+01
222;-2.70E+01
223;-2.22E+01
224;-1.82E+01
225;-1.67E+01
226;-1.73E+01
227;-2.00E+01
228;-2.29E+01
229;-2.04E+01
230;-1.70E+01
231;-1.55E+01
232;-1.55E+01
233;-1.60E+01
234;-1.70E+01
235;-1.84E+01
236;-1.89E+01
237;-1.87E+01
238;-1.92E+01
239;-2.04E+01
240;-2.09E+01
241;-2.04E+01
242;-2.06E+01
243;-2.18E+01
244;-2.18E+01
245;-2.10E+01
246;-2.12E+01
247;-2.23E+01
248;-2.23E+01
249;-2.06E+01
250;-2.00E+01
251;-2.05E+01
252;-2.11E+01
253;-2.07E+01
254;-2.02E+01
255;-2.03E+01
256;-2.02E+01
257;-1.97E+01
258;-1.94E+01
259;-1.96E+01
260;-1.94E+01
261;-1.88E+01
262;-1.84E+01
263;-1.84E+01
264;-1.82E+01
265;-1.78E+01
266;-1.79E+01
267;-1.87E+01
268;-1.92E+01
269;-1.88E+01
270;-1.84E+01
271;-1.84E+01
272;-1.80E+01
273;-1.73E+01
274;-1.72E+01
275;-1.79E+01
276;-1.80E+01
277;-1.73E+01
278;-1.69E+01
279;-1.69E+01
280;-1.65E+01
281;-1.56E+01
282;-1.52E+01
283;-1.61E+01
284;-1.77E+01
285;-1.86E+01
286;-1.81E+01
287;-1.74E+01
288;-1.66E+01
289;-1.56E+01
290;-1.52E+01
291;-1.55E+01
292;-1.62E+01
293;-1.66E+01
294;-1.67E+01
295;-1.73E+01
296;-1.75E+01
297;-1.68E+01
298;-1.62E+01
299;-1.66E+01
300;-1.70E+01
301;-1.62E+01
302;-1.57E+01
303;-1.60E+01
304;-1.56E+01
305;-1.39E+01
306;-1.25E+01
307;-1.18E+01
308;-1.10E+01
309;-9.24E+00
310;-7.27E+00
311;-5.75E+00
312;-4.86E+00
313;-4.58E+00
314;-4.83E+00
315;-5.25E+00
316;-5.39E+00
317;-5.35E+00
318;-5.58E+00
319;-6.04E+00
320;-6.15E+00
321;-5.78E+00
322;-5.53E+00
323;-5.56E+00
324;-5.28E+00
325;-4.62E+00
326;-4.29E+00
327;-4.60E+00
328;-4.96E+00
329;-4.64E+00
330;-4.09E+00
331;-3.99E+00
332;-4.07E+00
333;-3.71E+00
334;-3.06E+00
335;-2.72E+00
336;-2.70E+00
337;-2.62E+00
338;-2.32E+00
339;-2.07E+00
340;-1.79E+00
341;-1.15E+00
342;-2.52E-01
343;4.15E-01
344;6.53E-01
345;7.59E-01
346;1.15E+00
347;1.79E+00
348;2.29E+00
349;2.58E+00
350;3.03E+00
351;3.95E+00
352;4.97E+00
353;5.54E+00
354;5.58E+00
355;5.64E+00
356;6.36E+00
357;7.49E+00
358;8.25E+00
359;8.35E+00
360;8.07E+00
361;8.08E+00
362;8.87E+00
363;1.01E+01
364;1.13E+01
365;1.22E+01
366;1.31E+01
367;1.41E+01
368;1.54E+01
369;1.66E+01
370;1.74E+01
371;1.77E+01
372;1.78E+01
373;1.80E+01
374;1.81E+01
375;1.80E+01
376;1.76E+01
377;1.69E+01
378;1.64E+01
